"do ya like x resonance		3:40				0	1	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,,
"FINA LANA		1:17	6YNTHMANE/LXGHTXNG	FINA LANA		0	60	8/10/2025 4:23 AM",,,,,,,,,,,,,,,,,,
"Pretty Little Fears		4:00	6LACK; J. Cole	East Atlanta Love Letter	Alternative R & B", Alternative Hip-Hop, R&B, Contemporary R & B," xDolbyxAtmosx	0	5	12/23/2024 6:37 PM",,,,,,,,,,,,,,
"Twirlanta		2:58	22Gz	The Blixky Tape 2	US Rap"," Rap & Hip Hop	0	3	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"née-nah		3:41	21 Savage; Travis Scott; Metro Boomin	american dream	US Rap", Rap & Hip Hop," Weekly Ranking[JP]	0	3	12/23/2024 6:37 PM",,,,,,,,,,,,,,,,
"red sky		2:57	21 Savage; Tommy Newport; Mikky Ekko	american dream	US Rap"," Rap & Hip Hop	0		12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,
"Glock In My Lap		3:14	21 Savage; Metro Boomin	SAVAGE MODE II	Trap Rap"," Rap & Hip Hop	0	39	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"Runnin		3:16	21 Savage; Metro Boomin	SAVAGE MODE II	US Rap", Trap Rap," Rap & Hip Hop	0	32	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,
"No Heart [Explicit]		3:55	21 Savage; Metro Boomin	Savage Mode	Trap"," Rap & Hip Hop	0	13	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"Bank Account		3:40	21 Savage	Issa Album	Modern Rap", Trap, Party, Summer, Barbecue," Rap & Hip Hop	0	6	12/24/2024 3:30 PM",,,,,,,,,,,,,
"Immortal		4:15	21 Savage	Immortal	US Rap"," Rap & Hip Hop	0	2	12/23/2024 6:37 PM",,,,,,,,,,,,,,,,,
"ball w/o you		3:15	21 Savage	i am > i was (Deluxe)	Contemporary Rap"," Rap & Hip Hop	0		12/24/2024 3:51 PM",,,,,,,,,,,,,,,,,
"can't leave without it		3:25	21 Savage	i am > i was (Deluxe)	Contemporary Rap"," Rap & Hip Hop	0	5	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"redrum		4:31	21 Savage	american dream	US Rap", Rap & Hip Hop," Weekly Ranking[JP]	0	27	12/23/2024 6:37 PM",,,,,,,,,,,,,,,,
"all of me		3:18	21 Savage	american dream	Rap & Hip Hop"," US Rap	0	1	12/23/2024 6:37 PM",,,,,,,,,,,,,,,,,
"Substance		3:40	03 Greedo	The Wolf of Grape Street	Rap & Hip Hop"," meme	0		12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"Cant Go Broke - Remix		1:48	ZEDDY WILL	Cant Go Broke (Remix)		0	6	7/22/2025 1:42 AM",,,,,,,,,,,,,,,,,,
"I Don’t Wanna Live Forever (Fifty Shades Darker)		4:06	ZAYN; Taylor Swift	Fifty Shades Darker (Original Motion Picture Soundtrack)	Hollywood", Synthpop, Pop, Soundtracks, Adult Contemporary, Modern Pop, Coffee Shop [Conflict], Future Bass," Dance Pop	0	2	12/23/2024 4:36 PM",,,,,,,,,,
"Dusk Till Dawn (Radio Edit)		3:59	ZAYN; Sia	Icarus Falls	Party", Summer, Barbecue," Pop	0	2	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Lush Life		3:21	Zara Larsson	So Good		0	33	2/26/2025 7:54 AM",,,,,,,,,,,,,,,,,,
"Something in the Orange		3:48	Zach Bryan	Something in the Orange	Americana", Country Rock, Alternative, Contemporary Country, Country, Alt-Country & Americana, Red Dirt Country, Modern Country, meme, Modern Folk, Country Pop, Folk," Contemporary Folk	0	8	12/24/2024 3:30 PM",,,,,,
"Mr. Clean		3:31	Yung Gravy	Snow Cougar		0	3	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"1 Thot 2 Thot Red Thot Blue Thot		2:11	Yung Gravy	Snow Cougar		0	7	12/23/2024 1:55 PM",,,,,,,,,,,,,,,,,,
"Betty (Get Money)		2:27	Yung Gravy	Betty (Get Money)		0	3	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"Bad Bad Bad (feat. Lil Baby)		2:29	Young Thug/Lil Baby	So Much Fun		0	80	6/1/2025 12:09 PM",,,,,,,,,,,,,,,,,,
"Mind Over Matter		4:05	Young The Giant	Mind Over Matter		0	2	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,,
"That Go! (feat. T-Shyne)		3:46	Young Stoner Life; Young Thug; Meek Mill; T-Shyne	That Go! (feat. T-Shyne)		0	47	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"Solid		3:36	Young Stoner Life; Young Thug; Gunna; Drake	Slime Language 2	US Rap", Black Music Month, Contemporary Hip-Hop, Modern Hip-Hop," Rap & Hip Hop	0	2	12/24/2024 3:30 PM",,,,,,,,,,,,,,
"Jugg		2:40	Young Nudy	Slimeball		0	48	8/7/2025 12:32 AM",,,,,,,,,,,,,,,,,,
"Pose (feat. Lil Uzi Vert)		2:50	Yo Gotti/Lil Uzi Vert	Pose (feat. Lil Uzi Vert)		0	27	7/12/2025 2:47 PM",,,,,,,,,,,,,,,,,,
"GLEAMING		1:52	YNG Martyr	GLEAMING	Trap	0	34	1/10/2025 1:17 PM",,,,,,,,,,,,,,,,,,
"BURR		2:38	YNG Martyr	BURR		0	33	3/26/2025 11:51 PM",,,,,,,,,,,,,,,,,,
"If We Being Rëal		2:53	Yeat	2093	US Rap", Alternative Hip-Hop, West Coast Hip-Hop, Rap & Hip Hop," Trap	0	32	12/23/2024 4:36 PM",,,,,,,,,,,,,,
"Breathe		2:51	Yeat	2093		0	25	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"LUNA BALA - Slowed		2:04	Yb Wasg'ood/Ariis	LUNA BALA		0	45	5/19/2025 3:55 AM",,,,,,,,,,,,,,,,,,
"Fly-day Chinatown		3:29	Yasuha	Fly-day Chinatown	J-POP", Hogaku Music," Japanese City Pop	0		12/24/2024 3:30 PM",,,,,,,,,,,,,,,,
"Greek Tragedy (Oliver Nelson TikTok Remix)		5:06	The Wombats	Greek Tragedy (Oliver Nelson TikTok Remix)	Pop", Dance & Electronic, Remix," Alternative	0	7	1/10/2025 1:06 PM",,,,,,,,,,,,,,,
"See You Again (feat. Charlie Puth)		3:50	Wiz Khalifa; Charlie Puth	See You Again (feat. Charlie Puth)		0	3	12/23/2024 1:55 AM",,,,,,,,,,,,,,,,,,
"DIED		1:14	Winter444rc	YOU DIED :(		0	27	5/19/2025 3:55 AM",,,,,,,,,,,,,,,,,,
"Wait a Minute!		3:17	WILLOW	ARDIPITHECUS	Alternative Rock", Alternative Pop, Alternative, Pop, Dance Pop, Alternative R & B," Experimental	0		12/24/2024 3:30 PM",,,,,,,,,,,,
"I Wanna Dance with Somebody (Who Loves Me)		4:51	Whitney Houston	Whitney		0	2	6/30/2025 1:49 AM",,,,,,,,,,,,,,,,,,
LOCK IT UP (feat. Yeat," midwxst & Matt Ox)		3:03	Whethan/midwxst/Yeat/Matt OX	MIDNIGHT		0	23	7/6/2025 12:58 AM",,,,,,,,,,,,,,,,,
"Timeless (with Playboi Carti)		4:16	The Weeknd; Playboi Carti	Timeless		0	35	12/23/2024 1:55 AM",,,,,,,,,,,,,,,,,,
"Popular (From The Idol Vol. 1 (Music from the HBO Original Series))		3:36	The Weeknd; Madonna; Playboi Carti	Popular (Music from the HBO Original Series)	Contemporary R & B", Dance Pop, R&B, Canadian, TV Soundtrack, Weekly Ranking[JP], Pop," Soundtracks	0	5	12/24/2024 3:30 PM",,,,,,,,,,,
"Pray For Me		3:32	The Weeknd; Kendrick Lamar	Black Panther The Album Music From And Inspired By	Contemporary R & B", R&B, Soundtracks, Rap & Hip Hop, Pop," US Rap	0	6	12/24/2024 3:30 PM",,,,,,,,,,,,,
One Of The Girls (with JENNIE," Lily Rose Depp)		4:05	The Weeknd; JENNIE; Lily-Rose Depp	The Idol Episode 4 (Music from the HBO Original Series)		0	14	12/23/2024 1:55 AM",,,,,,,,,,,,,,,,,
"I Was Never There		4:01	The Weeknd; Gesaffelstein	My Dear Melancholy","	Contemporary R & B", Alternative R & B, R&B, xDolbyxAtmosx," European Alternative Pop	0	1	12/24/2024 3:30 PM",,,,,,,,,,,,,
"Starboy		3:51	The Weeknd; Daft Punk	Starboy		0	55	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"Double Fantasy (with Future)		4:29	The Weeknd/Future	Double Fantasy		0	118	4/13/2025 3:39 PM",,,,,,,,,,,,,,,,,,
"Timeless (feat. Playboi Carti & Doechii) - Remix		3:48	The Weeknd/Doechii/Playboi Carti	Timeless (Remix)		0	33	5/19/2025 4:06 AM",,,,,,,,,,,,,,,,,,
"Save Your Tears (with Ariana Grande) (Remix)		3:11	The Weeknd/Ariana Grande	Save Your Tears (Remix)		0	3	8/11/2025 2:19 PM",,,,,,,,,,,,,,,,,,
"Die For You (with Ariana Grande) - Remix		3:53	The Weeknd/Ariana Grande	Die For You		0	4	8/11/2025 2:19 PM",,,,,,,,,,,,,,,,,,
"São Paulo (feat. Anitta)		5:02	The Weeknd/Anitta	Hurry Up Tomorrow		0	29	6/1/2025 12:09 PM",,,,,,,,,,,,,,,,,,
"Party Monster		4:09	The Weeknd	Starboy	Contemporary R & B", Alternative R & B, xDolbyxAtmosx, R&B, Pop," Rap & Hip Hop	0	4	12/24/2024 3:30 PM",,,,,,,,,,,,,
"Call Out My Name		3:48	The Weeknd	My Dear Melancholy","	Alternative R & B", xDolbyxAtmosx, Pop, Alternative Rock, Contemporary R & B, R&B," Canadian	0	8	12/24/2024 3:30 PM",,,,,,,,,,,
"Often		4:09	The Weeknd	Beauty Behind The Madness (Explicit Version)	R&B	0		12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,,
"Earned It (Fifty Shades Of Grey) [Explicit]		4:38	The Weeknd	Beauty Behind The Madness	Contemporary R & B", Alternative R & B, R&B, Pop, Soundtracks, Ballad," xDolbyxAtmosx	0	2	12/24/2024 3:30 PM",,,,,,,,,,,,
"After Hours		6:01	The Weeknd	After Hours	Contemporary R & B", R&B, Pop, Alternative R & B, xDolbyxAtmosx, Weekly Ranking[JP]," Rap & Hip Hop	2	91	12/24/2024 3:30 PM",,,,,,,,,,,,
"Blinding Lights		3:20	The Weeknd	After Hours	Weekly Ranking[JP]", Pop, Dance Pop, xDolbyxAtmosx, Canadian, Beach, Teen Pop, Party, Clean Pop, Contemporary R & B," Alternative Pop	0	1	12/24/2024 3:30 PM",,,,,,,,
"Heartless		3:18	The Weeknd	After Hours	Contemporary R & B", R&B, Pop, Rap & Hip Hop, xDolbyxAtmosx," Weekly Ranking[JP]	0	1	12/24/2024 3:30 PM",,,,,,,,,,,,,
"Too Late		4:00	The Weeknd	After Hours	Contemporary R & B", R&B, Pop," xDolbyxAtmosx	0	2	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Shut Up and Dance		3:19	WALK THE MOON	TALKING IS HARD (Expanded Edition)	Teen Pop", Alternative, Adult Contemporary, Summer, Party, Barbecue, Pop Rock, Alternative Rock," Pop	0	6	12/24/2024 4:28 PM",,,,,,,,,,
"Y.M.C.A.		4:47	Village People	Cruisin'		0		8/2/2025 12:28 AM",,,,,,,,,,,,,,,,,,
"Reverse Roses		2:07	VaporGod; Irokz	Diamondz n Roses (Reverse Roses)	Dance & Electronic	0		12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,,
"50//50		4:06	Vantage	Sweet Spot	Vaporwave [D]", French Electro," Dance & Electronic	0	3	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,
"YAD		3:01	Vanna Rainelle	YAD		0	109	4/13/2025 3:39 PM",,,,,,,,,,,,,,,,,,
"A Thousand Miles (Album Version)		3:58	Vanessa Carlton	Best Of	Pop	0	5	12/24/2024 4:28 PM",,,,,,,,,,,,,,,,,,
"Riptide		3:22	Vance Joy	Dream Your Life Away  (Special Edition)	Alternative & Indie	0	2	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,,
"Somebody To You		3:03	The Vamps; Demi Lovato	Meet The Vamps	Pop	0	2	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,,
"DJ Got Us Fallin' In Love (feat. Pitbull)		3:34	USHER/Pitbull	Raymond v Raymond (Expanded Edition)		0		6/30/2025 1:49 AM",,,,,,,,,,,,,,,,,,
"WTF 2		2:07	ugovhb; EF	WTF 2	Alternative Hip-Hop	0	2	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"See You Again		3:00	Tyler"," The Creator; Kali Uchis	Flower Boy	Experimental Hip-Hop", meme," Alternative Hip-Hop	0	7	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Sticky		4:16	Tyler"," The Creator; GloRilla; Sexyy Red; Lil Wayne	CHROMAKOPIA	Alternative Hip-Hop", Rap & Hip Hop, US Rap," Weekly Ranking[JP]	0	18	12/24/2024 4:38 PM",,,,,,,,,,,,,,
"Water		3:20	Tyla	Water	R&B", Pop, Afrobeats, xWHM-xHall-xof-xFemme, Afropop, Chill-Out [D], Amapiano, Dance & Electronic," Contemporary R & B	0	9	12/24/2024 3:59 PM",,,,,,,,,,
"TELESCOPE		2:23	Twxn; LL Clawz; 507KAZ	Project YVL		0	113	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"Hope		4:12	Twista; Faith Evans	Coach Carter Soundtrack		0	13	12/23/2024 1:55 AM",,,,,,,,,,,,,,,,,,
"MUSTANG		2:54	Tristan	FATAL ATTRACTION		0	9	9/30/2025 12:24 AM",,,,,,,,,,,,,,,,,,
"TELEKINESIS		5:54	Travis Scott; SZA; Future	UTOPIA	Rap & Hip Hop"," Alternative Hip-Hop	1	35	1/18/2025 10:23 PM",,,,,,,,,,,,,,,,,
"FE!N		3:12	Travis Scott; Playboi Carti	UTOPIA	US Rap", Rap & Hip Hop," Modern Rap	0	2	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,
"90210		5:39	Travis Scott; Kacy Hill	Rodeo	Rap & Hip Hop"," Melodic Rap	0	3	12/23/2024 6:51 PM",,,,,,,,,,,,,,,,,
"TIL FURTHER NOTICE (feat. James Blake & 21 Savage)		5:15	Travis Scott; James Blake; 21 Savage	UTOPIA		0	32	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"I KNOW ?		3:32	Travis Scott	UTOPIA	Rap & Hip Hop"," US Rap	0	14	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"MY EYES		4:11	Travis Scott	UTOPIA	Rap & Hip Hop"," US Rap	0	17	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"HIGHEST IN THE ROOM		2:56	Travis Scott	HIGHEST IN THE ROOM	Weekly Ranking[JP]", US Rap, Trap Rap, Pop, Trap, meme," Rap & Hip Hop	0	6	12/24/2024 3:30 PM",,,,,,,,,,,,
"goosebumps [Explicit]		4:04	Travis Scott	Birds In The Trap Sing McKnight	Club Hip-Hop", Trap, Dance Pop, Party, Summer, Barbecue, Rap & Hip Hop," Melodic Rap	0	3	12/24/2024 3:30 PM",,,,,,,,,,,
"sdp interlude		3:12	Travis Scott	Birds In The Trap Sing McKnight	Rap & Hip Hop", US Rap, Contemporary Rap, Southern Rap, Trap Rap," Trap	0	1	12/24/2024 3:30 PM",,,,,,,,,,,,,
"5% TINT [Explicit]		3:16	Travis Scott	ASTROWORLD 	Trap"," Rap & Hip Hop	0	1	12/23/2024 6:37 PM",,,,,,,,,,,,,,,,,
"The Color Violet		3:47	Tory Lanez	Alone at Prom (Deluxe)	Rnb	0	5	12/29/2024 7:39 PM",,,,,,,,,,,,,,,,,,
"Lady Of Namek		3:14	Tory Lanez	Alone At Prom		0	90	12/17/2024 4:55 PM",,,,,,,,,,,,,,,,,,
"The Color Violet		3:47	Tory Lanez	Alone At Prom	R&B", Rap & Hip Hop, Canadian," Contemporary R & B	0	143	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"MILLION DOLLAR BABY		2:35	Tommy Richman	MILLION DOLLAR BABY	R&B", Rap & Hip Hop, Pop, Weekly Ranking[JP], Contemporary R & B," US Rap	0	77	12/23/2024 4:36 PM",,,,,,,,,,,,,
"DEVIL IS A LIE		2:11	Tommy Richman	DEVIL IS A LIE	Alternative Hip-Hop", R&B, Pop," Rap & Hip Hop	0	4	12/23/2024 4:36 PM",,,,,,,,,,,,,,,
"ACTIN UP		2:14	Tommy Richman	ACTIN UP		0	17	8/10/2025 4:23 AM",,,,,,,,,,,,,,,,,,
"Lose Control		3:31	Teddy Swims	Lose Control		0	39	7/12/2025 2:47 PM",,,,,,,,,,,,,,,,,,
"Welcome To New York (Taylor's Version)		3:33	Taylor Swift	1989 (Taylor's Version) (Deluxe)	Teen Pop", Pop, xWHM-xStorytellers," Weekly Ranking[JP]	0	5	12/24/2024 4:28 PM",,,,,,,,,,,,,,,
"I Knew You Were Trouble (Taylor's Version)		3:40	Taylor Swift	Red (Taylor's Version)	xWHM-xHall-xof-xFemme", Pop," Singer Songwriter	0	4	12/24/2024 4:28 PM",,,,,,,,,,,,,,,,
"Karma		3:25	Taylor Swift	Midnights	Alternative Pop"," Pop	0	3	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"Cruel Summer		2:58	Taylor Swift	Lover	Beach", Pop, Adult Contemporary, xDolbyxAtmosx, Singer Songwriter, Synthpop, Teen Pop," Dance Pop	0	17	12/24/2024 4:28 PM",,,,,,,,,,,
"You Belong With Me (Taylor’s Version)		3:51	Taylor Swift	Fearless (Taylor's Version)	xDolbyxAtmosx", Pop, Contemporary Country, Country, Country Pop," Singer Songwriter	0	4	1/28/2025 10:26 AM",,,,,,,,,,,,,
"want that too		3:10	Tate McRae	THINK LATER	Pop"," Canadian	0	11	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"calgary		2:21	Tate McRae	THINK LATER	Pop"," Canadian	0	4	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"we're not alike		3:00	Tate McRae	THINK LATER	Pop"," Canadian	0	2	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"exes		2:39	Tate McRae	THINK LATER	xWHM-xHall-xof-xFemme", Weekly Ranking[JP], Contemporary Pop, Pop, Dance Pop," Canadian	0	3	12/23/2024 4:36 PM",,,,,,,,,,,,,
"run for the hills		2:24	Tate McRae	THINK LATER	xWHM-xHall-xof-xFemme", Pop," Canadian	0	7	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,
"Sports car		2:45	Tate McRae	So Close To What		0	9	7/25/2025 10:26 PM",,,,,,,,,,,,,,,,,,
"Revolving door		3:00	Tate McRae	So Close To What		0	9	7/28/2025 12:12 AM",,,,,,,,,,,,,,,,,,
"greedy		2:12	Tate McRae	greedy	xWHM-xHall-xof-xFemme", Dance Pop, Weekly Ranking[JP], Pop," Canadian	0	43	12/24/2024 3:30 PM",,,,,,,,,,,,,,
"Just Keep Watching		2:23	Tate McRae	F1 The Album		0	109	7/25/2025 10:25 PM",,,,,,,,,,,,,,,,,,
"AOK		2:54	Tai Verdes	TV	Semi-Annual Ranking[JP]"," Pop	0	1	12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
"how deep?		2:35	Tai Verdes	how deep?		0	6	12/23/2024 4:36 PM",,,,,,,,,,,,,,,,,,
"Open Arms		4:00	SZA; Travis Scott	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	11	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Ghost in the Machine		3:39	SZA; Phoebe Bridgers	SOS	Contemporary R & B", Alternative R & B, R&B, Indie, Pop, Alternative," xWHM-xHall-xof-xFemme	0	4	12/24/2024 3:30 PM",,,,,,,,,,,,
"Forgiveless		2:22	SZA; Ol' Dirty Bastard	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	4	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Used		2:27	SZA; Don Toliver	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	4	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Open Arms (feat. Travis Scott)		4:01	SZA/Travis Scott	SOS		0	5	5/24/2025 3:24 AM",,,,,,,,,,,,,,,,,,
"Ghost in the Machine (feat. Phoebe Bridgers)		3:40	SZA/Phoebe Bridgers	SOS		0	8	5/24/2025 3:24 AM",,,,,,,,,,,,,,,,,,
"Forgiveless (feat. Ol' Dirty Bastard)		2:24	SZA/Ol' Dirty Bastard	SOS		0	8	5/24/2025 3:24 AM",,,,,,,,,,,,,,,,,,
"30 For 30 (with Kendrick Lamar)		4:38	SZA/Kendrick Lamar	SOS Deluxe: LANA		0	22	7/6/2025 12:58 AM",,,,,,,,,,,,,,,,,,
"Used (feat. Don Toliver)		2:29	SZA/Don Toliver	SOS		0	6	5/24/2025 3:24 AM",,,,,,,,,,,,,,,,,,
"BMF		3:01	SZA	SOS Deluxe: LANA	Pop", R&B, Alternative R & B, Contemporary R & B," Alternative Hip-Hop	0	28	1/10/2025 12:58 PM",,,,,,,,,,,,,,
"Good Days		4:39	SZA	SOS	Semi-Annual Ranking[JP]", Contemporary R & B, Weekly Ranking[JP], R&B, Black Music Month, Pop, Alternative R & B," xWHM-xHall-xof-xFemme	0	38	12/24/2024 3:30 PM",,,,,,,,,,,
"I Hate U		2:54	SZA	SOS		0	6	5/24/2025 3:32 AM",,,,,,,,,,,,,,,,,,
"Shirt		3:02	SZA	SOS	Classic R & B", Weekly Ranking[JP], meme, Pop, Contemporary R & B, Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	16	12/24/2024 3:30 PM",,,,,,,,,,,
"Far		3:01	SZA	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	12	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Too Late		2:44	SZA	SOS	Contemporary R & B", R&B, xWHM-xHall-xof-xFemme," Alternative R & B	0	6	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Special		2:39	SZA	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	8	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Conceited		2:31	SZA	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	4	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Nobody Gets Me		3:01	SZA	SOS		0	3	5/24/2025 3:32 AM",,,,,,,,,,,,,,,,,,
"F2F		3:05	SZA	SOS	Contemporary R & B", Alternative R & B, Alternative Hip-Hop, R&B, Alt, Alternative," xWHM-xHall-xof-xFemme	0	4	12/24/2024 3:30 PM",,,,,,,,,,,,
"Smoking on my Ex Pack		1:24	SZA	SOS		0	1	5/24/2025 3:32 AM",,,,,,,,,,,,,,,,,,
"Gone Girl		4:04	SZA	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	15	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Notice Me		2:41	SZA	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	7	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Snooze		3:22	SZA	SOS	Alternative R & B", Contemporary R & B, R&B," xWHM-xHall-xof-xFemme	0	48	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Blind		2:31	SZA	SOS	Contemporary R & B", Alternative R & B, R&B, meme," xWHM-xHall-xof-xFemme	0	17	12/24/2024 3:30 PM",,,,,,,,,,,,,,
"Love Language		3:04	SZA	SOS	Alternative R & B", R&B, xWHM-xHall-xof-xFemme," Contemporary R & B	0	10	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Low		3:01	SZA	SOS		0	7	5/24/2025 3:32 AM",,,,,,,,,,,,,,,,,,
"Seek & Destroy		3:24	SZA	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	13	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Kill Bill		2:34	SZA	SOS		0	7	5/24/2025 3:32 AM",,,,,,,,,,,,,,,,,,
"SOS		1:58	SZA	SOS	Contemporary R & B", Alternative R & B, R&B," xWHM-xHall-xof-xFemme	0	4	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Saturn		3:06	SZA	Saturn	Pop", Alternative R & B, R&B, xWHM-xHall-xof-xFemme," Weekly Ranking[JP]	0	16	12/23/2024 4:36 PM",,,,,,,,,,,,,,
"Broken Clocks [Explicit]		3:51	SZA	Ctrl	R&B", Alternative R & B, Contemporary R & B, Summer, Party," Barbecue	0	11	12/24/2024 3:30 PM",,,,,,,,,,,,,
"COWBELL WARRIOR!		2:36	SXMPRA	COWBELL WARRIOR!		0	38	4/27/2025 12:40 AM",,,,,,,,,,,,,,,,,,
"Funk of Galáctico - Super Slowed		2:11	SXID/Bibi Babydoll	Funk of Galáctico		0	29	4/27/2025 12:40 AM",,,,,,,,,,,,,,,,,,
"No Love		3:52	Summer Walker; SZA	Still Over It	Classic R & B", Contemporary R & B, Rap & Hip Hop," R&B	0	15	12/24/2024 3:30 PM",,,,,,,,,,,,,,,
"Good Looking		3:35	Suki Waterhouse	Milk Teeth	Indie"," Indie Rock	0		12/24/2024 3:30 PM",,,,,,,,,,,,,,,,,
